DataSet,Class1,Class2,F1,F2,L1,L2,L3
D31,21,25,191.34475838227297,0.3389618002563677,0.06003950781537139,0.0,0.0
D31,21,26,182.08672166807972,0.04518855715376436,0.09465297461808364,0.0,0.0
D31,21,27,184.80810265949987,0.24873311092700862,0.07208556266719088,0.0,0.0
D31,21,28,7.48175648670752,0.05059776920409389,0.4219835961436218,0.02,0.008
D31,21,29,44.49981247274739,-0.20976786472711836,0.22434389573025032,0.0,0.0
D31,21,30,96.77991479055135,-0.018259863827100015,0.13060508816153865,0.0,0.0
D31,21,31,14.743435757990538,-0.010951184009430825,0.23047295997289813,0.0,0.0
D31,22,23,95.58208309651863,-0.2948594310480856,0.1441519262589115,0.0,0.0
D31,22,24,163.71192427059407,0.049472026448939624,0.09831127939025558,0.0,0.0
D31,22,25,366.5076857988078,0.1974060028814241,0.07177406955795738,0.0,0.0
D31,22,26,87.39433404338887,0.1326724348085982,0.09014567506623651,0.0,0.0
D31,22,27,198.32412036992363,0.18487432175803006,0.0789994485772464,0.0,0.0
D31,22,28,14.615371219198918,-0.01708142144220787,0.3184686988858861,0.0,0.0
D31,22,29,18.931590250840785,-0.09130808262657812,0.28113660015300385,0.0,0.0
D31,22,30,227.77788878781598,0.28408367290338055,0.0719733814144821,0.0,0.0
D31,22,31,79.73169870219031,0.19857776215254197,0.09385425444609241,0.0,0.0
D31,23,24,23.74307039969058,-0.06011387834248319,0.2600013838297561,0.005,5.0E-4
D31,23,25,357.73904046317165,-0.05058300022172597,0.0740468533821126,0.0,0.0
D31,23,26,94.40977535141204,-0.1259629632483044,0.1236339814264345,0.0,0.0
D31,23,27,199.52408720764626,-0.07178630533066709,0.08835149017832906,0.0,0.0
D31,23,28,180.33612069146037,-0.07812020532177236,0.10655080684960046,0.0,0.0
D31,23,29,77.29452258073091,0.055904742969626775,0.1211136273972343,0.0,0.0
D31,23,30,333.04502072661523,0.40023904499991914,0.055593792688887735,0.0,0.0
D31,23,31,303.43100248379886,0.28972372230368915,0.07028755539281926,0.0,0.0
D31,24,25,228.2304562420478,0.08382697564511628,0.08656276001991861,0.0,0.0
D31,24,26,27.54070358281947,-0.009813421314358722,0.1734545598597645,0.0,0.0
D31,24,27,95.83343663861335,0.04472775590812103,0.10949251362870065,0.0,0.0
D31,24,28,293.63162034853246,-0.1984426167754895,0.08559330123671809,0.0,0.0
D31,24,29,138.49793001861497,-0.4001664323906703,0.09833485229542756,0.0,0.0
D31,24,30,521.2303868203945,0.3687411731384053,0.05758048844513834,0.0,0.0
D31,24,31,474.624641339644,0.10329206286893526,0.07531864796851244,0.0,0.0
D31,25,26,93.76555597911886,-0.2851041833988641,0.13080293867147433,0.0,0.0
D31,25,27,37.39924027084535,-0.24257707933108688,0.22615650486944755,0.0,0.0
D31,25,28,300.0976943269112,0.3518993743017893,0.06042124155749946,0.0,0.0
D31,25,29,237.70047780110423,0.1771974391104885,0.08047752726172322,0.0,0.0
D31,25,30,282.76416200964525,0.052567149572494476,0.08643452950987351,0.0,0.0
D31,25,31,253.16380398376327,0.34596394423895505,0.06923339412071343,0.0,0.0
D31,26,27,17.240421788822243,-0.09251930157082622,0.36450548467794236,0.0,0.0
D31,26,28,150.48548198499003,0.16745830651293014,0.08286972231122583,0.0,0.0
D31,26,29,52.648172291514,0.06243743881281875,0.12486803782232499,0.0,0.0
D31,26,30,305.76770534970376,0.17099078142218557,0.08112009364905212,0.0,0.0
D31,26,31,274.9623177586496,-0.4740873984773942,0.0732905418332374,0.0,0.0
D31,27,28,152.4881701034731,0.2966934548317876,0.06573737230484872,0.0,0.0
D31,27,29,99.83197417493066,0.150648128185052,0.09594971909579934,0.0,0.0
D31,27,30,312.94210930070847,-0.1883743213030981,0.08238035328500554,0.0,0.0
D31,27,31,280.89245700505865,0.14919796333836113,0.08651560378613432,0.0,0.0
D31,28,29,27.59951058556479,-0.06562534850975378,0.22809626028284508,0.0,0.0
D31,28,30,173.76891295325703,0.12246345436433273,0.09674304023626085,0.0,0.0
D31,28,31,47.70458789302792,0.048754481811196654,0.131559566254385,0.0,0.0
D31,29,30,124.94789348791403,0.29341062183628763,0.07927696633674089,0.0,0.0
D31,29,31,95.08073276309783,0.1149561896018951,0.11053160218472892,0.0,0.0
D31,3,10,115.53268711403624,-0.019985558822012466,0.11430536067899691,0.0,0.0
D31,3,11,167.4738783564867,-0.15096741665650623,0.10287806713849028,0.0,0.0
D31,3,12,255.9733584533543,0.06663795646902512,0.08828854554780956,0.0,0.0
D31,3,13,40.63510845023897,-0.1912009188840869,0.19972207318448093,0.0,0.0
D31,3,14,57.8926586376298,0.022440852161699405,0.13145950566308107,0.0,0.0
D31,3,15,130.24385646689532,0.22311392709634803,0.08442361636936571,0.0,0.0
D31,3,16,22.79166022976916,-0.06560307327169998,0.27144572049962074,0.0,0.0
D31,3,17,14.658004642824244,-0.002529316326126812,0.2357346320091619,0.0,0.0
D31,3,18,295.2551855409512,0.19961023208746806,0.07656767439729302,0.0,0.0
D31,3,19,7.362089400409892,0.041350452084761645,0.3839516311277043,0.015,0.005
D31,3,20,285.9149853911941,-0.1116667461806294,0.08667354328457505,0.0,0.0
D31,3,21,89.89765534100489,-0.39917267320760097,0.12765011279344274,0.0,0.0
D31,3,22,212.47131833380564,0.13068832977841974,0.07872151801274191,0.0,0.0
D31,3,23,214.29680445925067,0.3385128854717906,0.0597087930218635,0.0,0.0
D31,3,24,314.3948683664638,0.31486436307940924,0.06142439636215362,0.0,0.0
D31,3,25,157.34725971458298,0.07573888273153273,0.10160683584532239,0.0,0.0
D31,3,26,174.14482697455466,0.12022068939452367,0.09443752219362377,0.0,0.0
D31,3,27,176.21651614026226,-0.23533790371591343,0.10474969679410577,0.0,0.0
D31,3,28,161.38177306346822,-0.18305972647097743,0.09494679600608892,0.0,0.0
D31,3,29,115.39121262005233,0.1712984694017601,0.08812813809183229,0.0,0.0
D31,3,30,9.930595436634514,0.08258622889870439,0.4279686953356261,0.005,0.0025
D31,3,31,36.77710619397973,-0.06901017648372978,0.1892836769600056,0.0,0.0
D31,3,4,216.07553439955115,0.34243040483961934,0.060421641215511836,0.0,0.0
D31,3,5,81.04217514299263,-0.07054794390374165,0.13911148409501758,0.0,0.0
D31,3,6,299.6786955049565,-0.5152768296716611,0.06757675487013554,0.0,0.0
D31,3,7,254.00496837910967,0.33670448769433703,0.06140175784112948,0.0,0.0
D31,3,8,57.36040819378465,0.07177155777258712,0.11847734404355664,0.0,0.0
D31,3,9,219.1571734511021,0.25479923229330836,0.07022766787351788,0.0,0.0
D31,30,31,40.38558797644972,-0.2353796637752257,0.21074085983982335,0.0,0.0
D31,4,10,128.7097858860542,-0.10418033972703304,0.10985777692788577,0.0,0.0
D31,4,11,237.36468725223853,-0.17846697069382922,0.09152529058582688,0.0,0.0
D31,4,12,78.15975412174109,-0.21418721146820183,0.1440434861290956,0.0,0.0
D31,4,13,205.44181521497532,0.25251866273302,0.07954363116219416,0.0,0.0
D31,4,14,77.47052144806369,0.16348978425372196,0.09441998506188569,0.0,0.0
D31,4,15,20.543058063062333,0.0042307763966008965,0.1879545914633464,0.0,0.0
D31,4,16,227.28819176218275,0.2616595985024179,0.06791464053721208,0.0,0.0
D31,4,17,147.98708723634488,0.26279358796188446,0.0822019958943028,0.0,0.0
D31,4,18,39.292998398299815,-0.04223674570694241,0.1921120872200048,0.0,0.0
